XGBoost,申请金额,本地居住时间（年）,居住场所类型,家庭成年人数,过会还款方式（月还本息之和。单位：万元）,加上本笔贷款的月还本息（万元）,年净收益（万元）,总资产（万元）,上会时点应付帐款（万元）,借款人从业限（包括和当前从事行业相关的学习、打工期间）,净资产（万元）,实控人文化程度,用电量（/）,硬性负债（总借款）（万元）,所属行业（大类）,场地月租金（万元）,企业雇佣人数（不含借款人家庭成员）,核心资产（固定资产表+货币资金）（万元）,是否属于谨慎介入行业,经营性负债（不含按揭）（万元）,上会时点应收账款（万元）,月净收益（万元）,征信查询次数（贷款审批类）,上会时点存货（万元）,年销售收入（万元）,上会时点货币资金（万元）,房产抵押 如有，填写房产评估值（万元）,客户平均账期（天）,银行流水的流入总额（对应销售统计期间）（万元）,月均余额（万元）,最高逾期金额,原贷款的月还款本息（万元）,总负债（万元）,房产二押 如有，请填写房产余值（万元）,流水最高份,银行流水的流出总额（对应销售统计期间）（万元）,逾期次数,日均余额（万元）,是否外贸型,孩子（未成年）人数,婚姻状态,申请还款方案还款方式（月还本息之和。单位：万元）,资产负债率（%）,流水最低份,家庭参与劳动的人数,实控人性别,月净收益/月还本息比值,设备抵押  如有，请填写设备净值（万元）,是否增加了有效担保人（兄弟姐妹、上下游、合作伙伴、其他）,是否处于经营快速发展期，资金需求旺盛合理的阶段,家庭关系是否和睦,个人保证,企业保证,销售负债率（%）,申请期限,经营场所类型,是否使用了优贷宝产品替换了高息贷款
PermutationImportance,用电量（/）,年净收益（万元）,过会还款方式（月还本息之和。单位：万元）,家庭成年人数,所属行业（大类）,经营性负债（不含按揭）（万元）,最高逾期金额,核心资产（固定资产表+货币资金）（万元）,上会时点存货（万元）,净资产（万元）,月净收益（万元）,房产抵押 如有，填写房产评估值（万元）,月均余额（万元）,总负债（万元）,婚姻状态,实控人文化程度,征信查询次数（贷款审批类）,客户平均账期（天）,原贷款的月还款本息（万元）,逾期次数,申请还款方案还款方式（月还本息之和。单位：万元）,月净收益/月还本息比值,资产负债率（%）,日均余额（万元）,是否属于谨慎介入行业,孩子（未成年）人数,家庭关系是否和睦,设备抵押  如有，请填写设备净值（万元）,是否处于经营快速发展期，资金需求旺盛合理的阶段,房产二押 如有，请填写房产余值（万元）,流水最高份,是否增加了有效担保人（兄弟姐妹、上下游、合作伙伴、其他）,个人保证,企业保证,银行流水的流入总额（对应销售统计期间）（万元）,银行流水的流出总额（对应销售统计期间）（万元）,流水最低份,是否使用了优贷宝产品替换了高息贷款,申请期限,实控人性别,销售负债率（%）,经营场所类型,家庭参与劳动的人数,场地月租金（万元）,上会时点货币资金（万元）,上会时点应收账款（万元）,是否外贸型,年销售收入（万元）,硬性负债（总借款）（万元）,总资产（万元）,企业雇佣人数（不含借款人家庭成员）,借款人从业限（包括和当前从事行业相关的学习、打工期间）,加上本笔贷款的月还本息（万元）,居住场所类型,上会时点应付帐款（万元）,本地居住时间（年）,申请金额
Correlation,申请金额,过会还款方式（月还本息之和。单位：万元）,申请还款方案还款方式（月还本息之和。单位：万元）,总资产（万元）,净资产（万元）,加上本笔贷款的月还本息（万元）,上会时点存货（万元）,月净收益（万元）,年净收益（万元）,借款人从业限（包括和当前从事行业相关的学习、打工期间）,上会时点应收账款（万元）,核心资产（固定资产表+货币资金）（万元）,本地居住时间（年）,销售负债率（%）,逾期次数,年销售收入（万元）,是否处于经营快速发展期，资金需求旺盛合理的阶段,原贷款的月还款本息（万元）,场地月租金（万元）,日均余额（万元）,上会时点应付帐款（万元）,资产负债率（%）,总负债（万元）,月均余额（万元）,实控人性别,月净收益/月还本息比值,流水最高份,居住场所类型,上会时点货币资金（万元）,婚姻状态,房产二押 如有，请填写房产余值（万元）,经营场所类型,企业雇佣人数（不含借款人家庭成员）,银行流水的流入总额（对应销售统计期间）（万元）,银行流水的流出总额（对应销售统计期间）（万元）,征信查询次数（贷款审批类）,个人保证,设备抵押  如有，请填写设备净值（万元）,家庭参与劳动的人数,客户平均账期（天）,所属行业（大类）,企业保证,孩子（未成年）人数,是否属于谨慎介入行业,流水最低份,硬性负债（总借款）（万元）,最高逾期金额,是否增加了有效担保人（兄弟姐妹、上下游、合作伙伴、其他）,家庭成年人数,申请期限,经营性负债（不含按揭）（万元）,是否外贸型,是否使用了优贷宝产品替换了高息贷款,实控人文化程度,房产抵押 如有，填写房产评估值（万元）,用电量（/）,家庭关系是否和睦
RFE,是否使用了优贷宝产品替换了高息贷款,是否处于经营快速发展期，资金需求旺盛合理的阶段,设备抵押  如有，请填写设备净值（万元）,申请期限,销售负债率（%）,是否增加了有效担保人（兄弟姐妹、上下游、合作伙伴、其他）,个人保证,经营场所类型,企业保证,家庭关系是否和睦,月净收益/月还本息比值,家庭参与劳动的人数,实控人性别,流水最低份,申请还款方案还款方式（月还本息之和。单位：万元）,资产负债率（%）,婚姻状态,孩子（未成年）人数,日均余额（万元）,是否外贸型,逾期次数,银行流水的流出总额（对应销售统计期间）（万元）,征信查询次数（贷款审批类）,客户平均账期（天）,是否属于谨慎介入行业,原贷款的月还款本息（万元）,房产二押 如有，请填写房产余值（万元）,月均余额（万元）,房产抵押 如有，填写房产评估值（万元）,流水最高份,银行流水的流入总额（对应销售统计期间）（万元）,最高逾期金额,月净收益（万元）,上会时点货币资金（万元）,总负债（万元）,上会时点存货（万元）,年销售收入（万元）,家庭成年人数,过会还款方式（月还本息之和。单位：万元）,申请金额,加上本笔贷款的月还本息（万元）,场地月租金（万元）,实控人文化程度,居住场所类型,本地居住时间（年）,所属行业（大类）,借款人从业限（包括和当前从事行业相关的学习、打工期间）,企业雇佣人数（不含借款人家庭成员）,用电量（/）,经营性负债（不含按揭）（万元）,上会时点应收账款（万元）,上会时点应付帐款（万元）,总资产（万元）,净资产（万元）,年净收益（万元）,硬性负债（总借款）（万元）,核心资产（固定资产表+货币资金）（万元）
RandomForest,申请金额,本地居住时间（年）,过会还款方式（月还本息之和。单位：万元）,总资产（万元）,借款人从业限（包括和当前从事行业相关的学习、打工期间）,核心资产（固定资产表+货币资金）（万元）,逾期次数,年销售收入（万元）,上会时点存货（万元）,销售负债率（%）,最高逾期金额,加上本笔贷款的月还本息（万元）,居住场所类型,用电量（/）,上会时点应收账款（万元）,客户平均账期（天）,实控人文化程度,硬性负债（总借款）（万元）,月净收益（万元）,家庭参与劳动的人数,上会时点应付帐款（万元）,原贷款的月还款本息（万元）,家庭成年人数,经营性负债（不含按揭）（万元）,房产抵押 如有，填写房产评估值（万元）,实控人性别,个人保证,经营场所类型,年净收益（万元）,设备抵押  如有，请填写设备净值（万元）,婚姻状态,上会时点货币资金（万元）,总负债（万元）,企业雇佣人数（不含借款人家庭成员）,净资产（万元）,月均余额（万元）,孩子（未成年）人数,申请还款方案还款方式（月还本息之和。单位：万元）,资产负债率（%）,所属行业（大类）,日均余额（万元）,月净收益/月还本息比值,企业保证,流水最低份,场地月租金（万元）,是否使用了优贷宝产品替换了高息贷款,银行流水的流入总额（对应销售统计期间）（万元）,征信查询次数（贷款审批类）,流水最高份,银行流水的流出总额（对应销售统计期间）（万元）,是否增加了有效担保人（兄弟姐妹、上下游、合作伙伴、其他）,是否外贸型,家庭关系是否和睦,申请期限,房产二押 如有，请填写房产余值（万元）,是否属于谨慎介入行业,是否处于经营快速发展期，资金需求旺盛合理的阶段
PCA,申请金额,申请期限,申请还款方案还款方式（月还本息之和。单位：万元）,实控人性别,实控人文化程度,婚姻状态,居住场所类型,本地居住时间（年）,所属行业（大类）,借款人从业限（包括和当前从事行业相关的学习、打工期间）,是否外贸型,是否属于谨慎介入行业,企业雇佣人数（不含借款人家庭成员）,经营场所类型,场地月租金（万元）,月均余额（万元）,日均余额（万元）,用电量（/）,上会时点货币资金（万元）,上会时点应收账款（万元）,上会时点存货（万元）,上会时点应付帐款（万元）,总资产（万元）,总负债（万元）,净资产（万元）,年销售收入（万元）,年净收益（万元）,月净收益（万元）,核心资产（固定资产表+货币资金）（万元）,硬性负债（总借款）（万元）,经营性负债（不含按揭）（万元）,销售负债率（%）,资产负债率（%）,原贷款的月还款本息（万元）,加上本笔贷款的月还本息（万元）,月净收益/月还本息比值,客户平均账期（天）,家庭关系是否和睦,孩子（未成年）人数,家庭成年人数,家庭参与劳动的人数,征信查询次数（贷款审批类）,逾期次数,最高逾期金额,银行流水的流入总额（对应销售统计期间）（万元）,银行流水的流出总额（对应销售统计期间）（万元）,流水最高份,流水最低份,过会还款方式（月还本息之和。单位：万元）,企业保证,个人保证,是否增加了有效担保人（兄弟姐妹、上下游、合作伙伴、其他）,房产抵押 如有，填写房产评估值（万元）,房产二押 如有，请填写房产余值（万元）,设备抵押  如有，请填写设备净值（万元）,是否处于经营快速发展期，资金需求旺盛合理的阶段,是否使用了优贷宝产品替换了高息贷款
Mutual Information,总资产（万元）,净资产（万元）,核心资产（固定资产表+货币资金）（万元）,年净收益（万元）,硬性负债（总借款）（万元）,经营性负债（不含按揭）（万元）,总负债（万元）,年销售收入（万元）,企业雇佣人数（不含借款人家庭成员）,本地居住时间（年）,征信查询次数（贷款审批类）,上会时点应收账款（万元）,申请金额,借款人从业限（包括和当前从事行业相关的学习、打工期间）,客户平均账期（天）,月均余额（万元）,上会时点存货（万元）,月净收益（万元）,加上本笔贷款的月还本息（万元）,用电量（/）,上会时点应付帐款（万元）,银行流水的流入总额（对应销售统计期间）（万元）,银行流水的流出总额（对应销售统计期间）（万元）,原贷款的月还款本息（万元）,上会时点货币资金（万元）,日均余额（万元）,过会还款方式（月还本息之和。单位：万元）,流水最高份,申请还款方案还款方式（月还本息之和。单位：万元）,所属行业（大类）,流水最低份,家庭参与劳动的人数,家庭成年人数,孩子（未成年）人数,最高逾期金额,逾期次数,场地月租金（万元）,实控人文化程度,月净收益/月还本息比值,婚姻状态,资产负债率（%）,设备抵押  如有，请填写设备净值（万元）,房产二押 如有，请填写房产余值（万元）,个人保证,是否增加了有效担保人（兄弟姐妹、上下游、合作伙伴、其他）,销售负债率（%）,经营场所类型,房产抵押 如有，填写房产评估值（万元）,是否使用了优贷宝产品替换了高息贷款,实控人性别,申请期限,企业保证,是否外贸型,是否属于谨慎介入行业,居住场所类型,是否处于经营快速发展期，资金需求旺盛合理的阶段,家庭关系是否和睦
Decision Tree,申请金额,本地居住时间（年）,过会还款方式（月还本息之和。单位：万元）,总资产（万元）,客户平均账期（天）,加上本笔贷款的月还本息（万元）,用电量（/）,借款人从业限（包括和当前从事行业相关的学习、打工期间）,孩子（未成年）人数,设备抵押  如有，请填写设备净值（万元）,上会时点存货（万元）,资产负债率（%）,年销售收入（万元）,流水最高份,原贷款的月还款本息（万元）,征信查询次数（贷款审批类）,最高逾期金额,核心资产（固定资产表+货币资金）（万元）,银行流水的流入总额（对应销售统计期间）（万元）,净资产（万元）,房产抵押 如有，填写房产评估值（万元）,年净收益（万元）,银行流水的流出总额（对应销售统计期间）（万元）,上会时点应收账款（万元）,总负债（万元）,经营性负债（不含按揭）（万元）,上会时点应付帐款（万元）,居住场所类型,上会时点货币资金（万元）,流水最低份,婚姻状态,实控人文化程度,个人保证,实控人性别,企业保证,是否增加了有效担保人（兄弟姐妹、上下游、合作伙伴、其他）,房产二押 如有，请填写房产余值（万元）,申请还款方案还款方式（月还本息之和。单位：万元）,是否处于经营快速发展期，资金需求旺盛合理的阶段,逾期次数,家庭关系是否和睦,家庭参与劳动的人数,家庭成年人数,所属行业（大类）,是否外贸型,月净收益/月还本息比值,是否属于谨慎介入行业,企业雇佣人数（不含借款人家庭成员）,经营场所类型,销售负债率（%）,硬性负债（总借款）（万元）,申请期限,月净收益（万元）,场地月租金（万元）,月均余额（万元）,日均余额（万元）,是否使用了优贷宝产品替换了高息贷款
ANOVA,申请金额,过会还款方式（月还本息之和。单位：万元）,申请还款方案还款方式（月还本息之和。单位：万元）,企业保证,总资产（万元）,婚姻状态,征信查询次数（贷款审批类）,资产负债率（%）,加上本笔贷款的月还本息（万元）,净资产（万元）,房产抵押 如有，填写房产评估值（万元）,个人保证,是否使用了优贷宝产品替换了高息贷款,房产二押 如有，请填写房产余值（万元）,是否处于经营快速发展期，资金需求旺盛合理的阶段,上会时点存货（万元）,实控人文化程度,家庭参与劳动的人数,上会时点应收账款（万元）,设备抵押  如有，请填写设备净值（万元）,客户平均账期（天）,年销售收入（万元）,本地居住时间（年）,借款人从业限（包括和当前从事行业相关的学习、打工期间）,月净收益（万元）,年净收益（万元）,原贷款的月还款本息（万元）,孩子（未成年）人数,总负债（万元）,是否增加了有效担保人（兄弟姐妹、上下游、合作伙伴、其他）,硬性负债（总借款）（万元）,经营性负债（不含按揭）（万元）,上会时点应付帐款（万元）,月均余额（万元）,核心资产（固定资产表+货币资金）（万元）,上会时点货币资金（万元）,经营场所类型,销售负债率（%）,流水最低份,家庭成年人数,实控人性别,银行流水的流出总额（对应销售统计期间）（万元）,用电量（/）,银行流水的流入总额（对应销售统计期间）（万元）,所属行业（大类）,是否外贸型,企业雇佣人数（不含借款人家庭成员）,场地月租金（万元）,居住场所类型,最高逾期金额,流水最高份,日均余额（万元）,月净收益/月还本息比值,逾期次数,申请期限,是否属于谨慎介入行业,家庭关系是否和睦
Shapley,申请金额,净资产（万元）,居住场所类型,硬性负债（总借款）（万元）,家庭成年人数,用电量（/）,企业雇佣人数（不含借款人家庭成员）,核心资产（固定资产表+货币资金）（万元）,上会时点存货（万元）,所属行业（大类）,最高逾期金额,年销售收入（万元）,上会时点货币资金（万元）,婚姻状态,经营性负债（不含按揭）（万元）,是否外贸型,日均余额（万元）,申请还款方案还款方式（月还本息之和。单位：万元）,月净收益/月还本息比值,实控人性别,资产负债率（%）,流水最低份,是否使用了优贷宝产品替换了高息贷款,销售负债率（%）,是否增加了有效担保人（兄弟姐妹、上下游、合作伙伴、其他）,个人保证,企业保证,设备抵押  如有，请填写设备净值（万元）,经营场所类型,家庭关系是否和睦,是否处于经营快速发展期，资金需求旺盛合理的阶段,申请期限,孩子（未成年）人数,家庭参与劳动的人数,房产二押 如有，请填写房产余值（万元）,逾期次数,场地月租金（万元）,原贷款的月还款本息（万元）,征信查询次数（贷款审批类）,银行流水的流入总额（对应销售统计期间）（万元）,客户平均账期（天）,总负债（万元）,是否属于谨慎介入行业,房产抵押 如有，填写房产评估值（万元）,流水最高份,月净收益（万元）,借款人从业限（包括和当前从事行业相关的学习、打工期间）,月均余额（万元）,上会时点应收账款（万元）,银行流水的流出总额（对应销售统计期间）（万元）,实控人文化程度,加上本笔贷款的月还本息（万元）,总资产（万元）,上会时点应付帐款（万元）,年净收益（万元）,过会还款方式（月还本息之和。单位：万元）,本地居住时间（年）
